phenol_id,total_phenols,flavanoids,nonflavanoid_phenols,proanthocyanins,hue,od280_od315
1,2.8,3.06,0.28,2.29,1.04,3.92
2,2.65,2.76,0.26,1.28,1.05,3.4
3,2.8,3.24,0.3,2.81,1.03,3.17
4,3.85,3.49,0.24,2.18,0.86,3.45
5,2.8,2.69,0.39,1.82,1.04,2.93
6,3.27,3.39,0.34,1.97,1.05,2.85
7,2.5,2.52,0.3,1.98,1.02,3.58
9,2.8,2.98,0.29,1.98,1.08,2.85
10,2.98,3.15,0.22,1.85,1.01,3.55
11,2.95,3.32,0.22,2.38,1.25,3.17
12,2.2,2.43,0.26,1.57,1.17,2.82
13,2.6,2.76,0.29,1.81,1.15,2.9
14,3.1,3.69,0.43,2.81,1.25,2.73
15,3.3,3.64,0.29,2.96,1.2,3.0
16,2.85,2.91,0.3,1.46,1.28,2.88
17,2.8,3.14,0.33,1.97,1.07,2.65
18,2.95,3.4,0.4,1.72,1.13,2.57
19,3.3,3.93,0.32,1.86,1.23,2.82
20,2.7,3.03,0.17,1.66,0.96,3.36
21,3.0,3.17,0.24,2.1,1.09,3.71
22,2.41,2.41,0.25,1.98,1.03,3.52
23,2.61,2.88,0.27,1.69,1.11,4.0
24,2.48,2.37,0.26,1.46,1.09,3.63
25,2.53,2.61,0.28,1.66,1.12,3.82
26,2.63,2.68,0.47,1.92,1.13,3.2
28,2.4,2.19,0.27,1.35,1.02,2.77
29,2.95,2.97,0.37,1.76,1.25,3.4
30,2.65,2.33,0.26,1.98,1.04,3.59
31,3.0,3.25,0.29,2.38,1.19,2.71
32,2.86,3.19,0.22,1.95,1.09,2.88
33,2.42,2.69,0.42,1.97,1.23,2.87
34,2.95,2.74,0.5,1.35,1.25,3.0
35,2.35,2.53,0.29,1.54,1.1,2.87
36,2.7,2.98,0.26,1.86,1.04,3.47
37,2.6,2.68,0.34,1.36,1.09,2.78
38,2.45,2.43,0.29,1.44,1.12,2.51
39,2.4,2.64,0.28,1.37,1.18,2.69
40,3.0,3.04,0.2,2.08,0.89,3.53
41,3.15,3.29,0.34,2.34,0.95,3.38
42,2.45,2.68,0.27,1.48,0.91,3.0
43,3.25,3.56,0.17,1.7,0.88,3.56
44,2.64,2.63,0.32,1.66,0.82,3.0
45,3.0,3.0,0.28,2.03,0.88,3.35
46,2.85,2.65,0.3,1.25,0.87,3.33
47,3.25,3.17,0.27,2.19,1.04,3.44
48,3.1,3.39,0.21,2.14,0.91,3.33
49,2.75,2.92,0.32,2.38,1.07,2.75
50,2.88,3.54,0.32,2.08,1.12,3.1
51,2.72,3.27,0.17,2.91,1.12,2.91
52,2.45,2.99,0.22,2.29,1.24,3.37
53,3.88,3.74,0.32,1.87,1.01,3.26
54,3.0,2.79,0.39,1.68,1.13,2.93
55,2.6,2.9,0.21,1.62,0.92,3.2
56,2.96,2.78,0.2,2.45,0.98,3.03
57,3.2,3.0,0.26,2.03,0.94,3.31
58,3.0,3.23,0.31,1.66,1.07,2.84
59,3.4,3.67,0.19,2.04,0.89,2.87
60,1.98,0.57,0.28,0.42,1.05,1.82
61,2.05,1.09,0.63,0.41,1.25,1.67
62,2.02,1.41,0.53,0.62,0.98,1.59
63,2.1,1.79,0.32,0.73,1.23,2.46
64,3.5,3.1,0.19,1.87,1.22,2.87
65,1.89,1.75,0.45,1.03,1.45,2.23
66,2.42,2.65,0.37,2.08,1.19,2.3
67,2.98,3.18,0.26,2.28,1.12,3.18
68,2.11,2.0,0.27,1.04,1.12,3.48
69,2.53,1.3,0.55,0.42,1.02,1.93
70,1.85,1.28,0.14,2.5,1.28,3.07
71,1.1,1.02,0.37,1.46,0.906,1.82
72,2.95,2.86,0.21,1.87,1.36,3.16
73,1.88,1.84,0.27,1.03,0.98,2.78
74,3.3,2.89,0.21,1.96,1.31,3.5
75,3.38,2.14,0.13,1.65,0.99,3.13
76,1.61,1.57,0.34,1.15,1.23,2.14
77,1.95,2.03,0.24,1.46,1.19,2.48
78,1.72,1.32,0.43,0.95,0.96,2.52
79,1.9,1.85,0.35,2.76,1.06,2.31
80,2.83,2.55,0.43,1.95,1.19,3.13
81,2.42,2.26,0.3,1.43,1.38,3.12
82,2.2,2.53,0.26,1.77,1.16,3.14
83,2.0,1.58,0.4,1.4,1.31,2.72
84,1.65,1.59,0.61,1.62,0.84,2.01
85,2.2,2.21,0.22,2.35,0.79,3.08
87,1.78,1.69,0.43,1.56,1.33,2.26
88,1.92,1.61,0.4,1.34,1.36,3.21
89,1.95,1.69,0.48,1.35,1.0,2.75
90,2.2,1.59,0.42,1.38,1.07,3.21
91,1.6,1.5,0.52,1.64,1.08,2.27
92,1.45,1.25,0.5,1.63,1.05,2.65
93,1.38,1.46,0.58,1.62,0.96,2.06
94,2.45,2.25,0.25,1.99,1.15,3.3
96,2.5,2.27,0.32,3.28,1.16,2.63
97,1.6,0.99,0.14,1.56,0.95,2.26
98,2.55,2.5,0.29,1.77,1.23,2.74
99,3.52,3.75,0.24,1.95,1.04,2.77
100,2.85,2.99,0.45,2.81,1.42,2.83
101,2.23,2.17,0.26,1.4,1.27,2.96
102,1.45,1.36,0.29,1.35,1.04,2.77
103,2.56,2.11,0.34,1.31,0.8,3.38
104,2.5,1.64,0.37,1.42,0.94,2.44
105,2.2,1.92,0.32,1.48,1.04,3.57
106,1.68,1.84,0.66,1.42,0.86,3.3
107,1.65,2.03,0.37,1.63,1.0,3.17
108,1.38,1.76,0.48,1.63,0.88,2.42
109,2.36,2.04,0.39,2.08,0.86,3.02
110,2.74,2.92,0.29,2.49,0.96,3.26
111,3.18,2.58,0.24,3.58,0.75,2.81
112,2.55,2.27,0.26,1.22,0.9,2.78
113,1.75,2.03,0.6,1.05,1.23,2.5
114,2.48,2.01,0.42,1.44,1.1,2.31
115,2.56,2.29,0.43,1.04,0.93,3.19
116,2.46,2.17,0.52,2.01,1.71,2.87
117,1.98,1.6,0.3,1.53,0.95,3.33
118,2.0,2.09,0.34,1.61,1.06,2.96
119,1.63,1.25,0.43,0.83,0.7,2.12
120,2.0,1.64,0.37,1.87,0.93,3.05
122,3.18,5.08,0.47,1.87,0.93,3.69
123,2.2,2.13,0.43,1.71,0.92,3.12
124,2.62,2.65,0.3,2.01,0.73,3.1
125,2.86,3.03,0.21,2.91,0.75,3.64
126,2.6,2.65,0.37,1.35,0.86,3.28
127,2.74,3.15,0.39,1.77,0.69,2.84
128,2.13,2.24,0.58,1.76,0.97,2.44
129,2.22,2.45,0.4,1.9,0.89,2.78
130,2.1,1.75,0.42,1.35,0.79,2.57
132,1.3,1.22,0.24,0.83,0.74,1.42
134,1.7,1.2,0.17,0.84,0.78,1.29
135,2.0,0.58,0.6,1.25,0.75,1.51
136,1.62,0.66,0.63,0.94,0.73,1.58
137,1.38,0.47,0.53,0.8,0.75,1.27
138,1.79,0.6,0.63,1.1,0.82,1.69
139,1.62,0.48,0.58,0.88,0.81,1.82
140,2.32,0.6,0.53,0.81,0.89,2.15
141,1.54,0.5,0.53,0.75,0.77,2.31
142,1.4,0.5,0.37,0.64,0.7,2.47
143,1.55,0.52,0.5,0.55,0.89,2.06
144,2.0,0.8,0.47,1.02,0.91,2.05
145,1.38,0.78,0.29,1.14,0.65,2.0
146,1.5,0.55,0.43,1.3,0.6,1.68
147,0.98,0.34,0.4,0.68,0.58,1.33
148,1.7,0.65,0.47,0.86,0.54,1.86
149,1.93,0.76,0.45,1.25,0.55,1.62
150,1.41,1.39,0.34,1.14,0.57,1.33
151,1.4,1.57,0.22,1.25,0.59,1.3
152,1.48,1.36,0.24,1.26,0.48,1.47
153,2.2,1.28,0.26,1.56,0.61,1.33
154,1.8,0.83,0.61,1.87,0.56,1.51
155,1.48,0.58,0.53,1.4,0.58,1.55
156,1.74,0.63,0.61,1.55,0.6,1.48
157,1.8,0.83,0.48,1.56,0.57,1.64
158,1.9,0.58,0.63,1.14,0.67,1.73
159,2.8,1.31,0.53,2.7,0.57,1.96
160,2.6,1.1,0.52,2.29,0.57,1.78
161,2.3,0.92,0.5,1.04,0.56,1.58
162,1.83,0.56,0.5,0.8,0.96,1.82
163,1.65,0.6,0.6,0.96,0.87,2.11
165,1.35,0.68,0.41,1.03,0.7,1.68
166,1.28,0.47,0.52,1.15,0.78,1.75
167,1.7,0.92,0.43,1.46,0.85,1.56
168,1.48,0.66,0.4,0.97,0.72,1.75
169,1.55,0.84,0.39,1.54,0.74,1.8
170,1.98,0.96,0.27,1.11,0.67,1.92
171,1.25,0.49,0.4,0.73,0.66,1.83
172,1.39,0.51,0.48,0.64,0.57,1.63
173,1.68,0.7,0.44,1.24,0.62,1.71
174,1.68,0.61,0.52,1.06,0.64,1.74
175,1.8,0.75,0.43,1.41,0.7,1.56
176,1.59,0.69,0.43,1.35,0.59,1.56
177,1.65,0.68,0.53,1.46,0.6,1.62
178,2.05,0.76,0.56,1.35,0.61,1.6
182,2.144549672520473,2.467421875729035,0.2650746237450327,1.809466796490903,1.1789017685370207,3.077308985573405
183,1.5607955015226027,0.5218202986225954,0.5032803289509352,0.5643785748361452,0.8959700011522841,2.1019568581978434
184,2.3547643243989667,2.5519441623605696,0.2954922075647953,1.4726794011226683,1.0894508498602091,2.8295009144653904
185,2.373617468217533,2.2413453553668305,0.3134544718011096,1.3928558451367599,1.4200867238800872,2.962483389376761
186,2.4550845537690584,2.381571742928966,0.26457253418460236,1.491151724194927,1.1159424545910377,3.592023839632145
